Index,name,height,weight,college,birth_date,birth_city,birth_state
1840,Winston Crite,201,105,Texas A&M University,1965,Bakersfield,California
1841,Billy Donovan,180,77,Providence College,1965,Rockville Centre,New York
1842,Chris Dudley,188,81,University of Washington,1950,Harrisburg,Pennsylvania
1843,Jim Farmer,193,86,University of Alabama,1964,Dothan,Alabama
1844,Tellis Frank,208,102,Western Kentucky University,1965,Gary,Indiana
1845,Kevin Gamble,196,95,University of Iowa,1965,Springfield,Illinois
1846,Winston Garland,188,77,Missouri State University,1964,Gary,Indiana
1847,Armen Gilliam,206,104,"University of Nevada, Las Vegas",1964,Pittsburgh,Pennsylvania
1848,Horace Grant,208,97,Clemson University,1965,Augusta,Georgia
1849,Dave Henderson,196,88,Duke University,1964,Henderson,North Carolina
1850,Dave Hoppen,211,106,University of Nebraska,1964,Omaha,Nebraska
1851,Dennis Hopson,196,90,Ohio State University,1965,Toledo,Ohio
1852,Eddie Hughes,178,74,Colorado State University,1960,Greenville,Mississippi
1853,Mark Jackson,185,81,St. John's University,1965,Brooklyn,New York
1854,Michael Jackson,201,97,"California State University, Los Angeles",1949,Washington,District of Columbia
1855,Kannard Johnson,206,99,Western Kentucky University,1965,Cincinnati,Ohio
1856,Kevin Johnson,203,108,Michigan State University,1962,Tuskegee,Alabama
1857,Bart Kofoed,193,95,University of Nebraska at Kearney,1964,Omaha,Nebraska
1858,Ralph Lewis,198,90,La Salle University,1963,Philadelphia,Pennsylvania
1859,Reggie Lewis,201,88,Northeastern University,1965,Baltimore,Maryland
1860,Brad Lohaus,211,104,University of Iowa,1964,New Ulm,Minnesota
1861,Derrick McKey,206,92,University of Alabama,1966,Meridian,Mississippi
1862,Reggie Miller*,201,83,"University of California, Los Angeles",1965,Riverside,California
1863,Andre Moore,206,97,Loyola University of Chicago,1964,Chicago,Illinois
1864,Ron Moore,213,117,West Virginia State University,1962,New York,New York
1865,Ronnie Murphy,196,102,Jacksonville University,1964,Dover,Delaware
1866,Tod Murphy,206,99,"University of California, Irvine",1963,Long Beach,California
1867,Martin Nessley,218,117,Duke University,1965,Columbus,Ohio
1868,Ken Norman,203,97,University of Illinois at Urbana-Champaign,1964,Chicago,Illinois
1869,Scottie Pippen*,203,95,University of Central Arkansas,1965,Hamburg,Arkansas
1870,Olden Polynice,211,99,University of Virginia,1964,Port-au-Prince,Haiti
1871,Richard Rellford,198,104,University of Michigan,1964,Riviera Beach,Florida
1872,Scott Roth,203,96,University of Wisconsin,1963,Cleveland,Ohio
1873,Brian Rowsom,206,99,University of North Carolina at Wilmington,1965,Newark,New Jersey
1874,Kenny Smith,190,77,University of North Carolina,1965,Queens,New York
1875,John Stroeder,208,117,University of Montana,1958,Bremerton,Washington
1876,Mark Wade,180,72,"University of Nevada, Las Vegas",1965,Torrance,California
1877,Milt Wagner,196,83,University of Louisville,1963,Camden,New Jersey
1878,Jamie Waller,193,97,Virginia Union University,1964,South Boston,Virginia
1879,Duane Washington,193,88,Middle Tennessee State University,1964,Eschwege,Germany
1880,Chris Welp,213,111,University of Washington,1964,Delmenhorst,Germany
1881,Clinton Wheeler,185,83,William Paterson University,1959,Neptune,New Jersey
1882,Eric White,203,90,Pepperdine University,1965,San Francisco,California
1883,Tony White,188,77,University of Tennessee,1965,Charlotte,North Carolina
1884,Reggie Williams,201,86,Georgetown University,1964,Baltimore,Maryland
1885,Nikita Wilson,203,90,Louisiana State University,1964,Pineville,Louisiana
1886,Ricky Wilson,196,90,University of Louisville,1956,Louisville,Kentucky
1887,Rickie Winslow,203,102,University of Houston,1964,Houston,Texas
1888,Joe Wolf,211,104,University of North Carolina,1964,Kohler,Wisconsin
1889,Phil Zevenbergen,208,104,University of Washington,1964,Seattle,Washington
1890,Randy Allen,203,99,Florida State University,1965,Milton,Florida
1891,Michael Anderson,180,83,Drexel University,1966,Philadelphia,Pennsylvania
1892,Willie Anderson,201,86,University of Georgia,1967,Greenville,South Carolina
1893,Ricky Berry,203,92,San Jose State University,1964,Lansing,Michigan
1894,Anthony Bowie,198,86,University of Oklahoma,1963,Tulsa,Oklahoma
1895,Scott Brooks,180,74,"University of California, Irvine",1965,French Camp,California
1896,Mark Bryant,206,111,Seton Hall University,1965,Glen Ridge,New Jersey
1897,Greg Butler,211,108,Stanford University,1966,Inglewood,California
1898,Mike Champion,208,104,Gonzaga University,1964,Everett,Washington
1899,Rex Chapman,193,83,University of Kentucky,1967,Bowling Green,Kentucky
1900,Derrick Chievous,201,88,University of Missouri,1967,New York,New York
1901,Mark Davis,198,88,Old Dominion University,1963,Chesapeake,Virginia
1902,Vinny Del,198,88,,1963,,
1903,Fennis Dembo,196,97,University of Wyoming,1966,Mobile,Alabama
1904,Ledell Eackles,196,99,University of New Orleans,1966,Baton Rouge,Louisiana
1905,Kevin Edwards,190,86,DePaul University,1965,Cleveland Heights,Ohio
1906,Wayne Englestad,203,111,"University of California, Irvine",1966,Rosemead,California
1907,Rolando Ferreira,216,108,University of Houston,1964,Curtiba,Brazil
1908,Duane Ferrell,201,94,Georgia Institute of Technology,1965,Baltimore,Maryland
1909,Anthony Frederick,201,92,Pepperdine University,1964,Los Angeles,California
1910,Corey Gaines,190,88,Loyola Marymount University,1965,Los Angeles,California
1911,Tom Garrick,188,83,University of Rhode Island,1966,West Warwick,Rhode Island
1912,Ben Gillery,213,106,Georgetown University,1965,Detroit,Michigan
1913,Orlando Graham,203,99,Auburn University at Montgomery,1965,Montgomery,Alabama
1914,Ron Grandison,198,97,University of New Orleans,1964,Los Angeles,California
1915,Gary Grant,190,83,University of Michigan,1965,Canton,Ohio
1916,Harvey Grant,203,88,University of Oklahoma,1965,Augusta,Georgia
1917,Sylvester Gray,198,104,University of Memphis,1967,Millington,Tennessee
1918,Jeff Grayer,196,90,Iowa State University,1965,Flint,Michigan
1919,Jack Haley,208,108,"University of California, Los Angeles",1964,Long Beach,California
1920,Hersey Hawkins,190,86,Bradley University,1966,Chicago,Illinois
1921,Tito Horford,216,111,University of Miami,1966,LaRomana,Dominican Republic
1922,Avery Johnson,178,79,Southern University and A&M College,1965,New Orleans,Louisiana
1923,Bill Jones,201,79,University of Iowa,1966,Detroit,Michigan
1924,Shelton Jones,206,95,St. John's University,1966,Copaigue,New York
1925,Steve Kerr,190,79,University of Arizona,1965,Beirut,Lebanon
1926,Randolph Keys,201,88,University of Southern Mississippi,1966,Collins,Mississippi
1927,Jerome Lane,198,104,University of Pittsburgh,1966,Akron,Ohio
1928,Andrew Lang,211,111,University of Arkansas,1966,Pine Bluff,Arkansas
1929,Eric Leckner,211,120,University of Wyoming,1966,Inglewood,California
1930,Jim Les,180,74,Bradley University,1963,Niles,Illinois
1931,Rob Lock,206,102,University of Kentucky,1966,Reedley,California
1932,Grant Long,203,102,Eastern Michigan University,1966,Wayne,Michigan
1933,Dan Majerle,198,97,Central Michigan University,1965,Traverse City,Michigan
1934,Danny Manning,208,104,University of Kansas,1966,Hattiesburg,Mississippi
1935,Vernon Maxwell,193,81,University of Florida,1965,Gainesville,Florida
1936,Todd Mitchell,201,92,Purdue University,1966,Toledo,Ohio
1937,Chris Morris,203,95,Auburn University,1966,Atlanta,Georgia
1938,Richard Morton,190,86,"California State University, Fullerton",1966,San Francisco,California
1939,Craig Neal,196,74,Georgia Institute of Technology,1964,Muncie,Indiana
1940,Jose Ortiz,208,102,Oregon State University,1963,Albonito,Puerto Rico
1941,Will Perdue,213,108,Vanderbilt University,1965,Melbourne,Florida
1942,Tim Perry,206,90,Temple University,1965,Freehold,New Jersey
1943,Dave Popson,208,99,University of North Carolina,1964,Kingston,Pennsylvania
1944,Dominic Pressley,188,77,Boston College,1964,Washington,District of Columbia
1945,Mitch Richmond*,196,97,Kansas State University,1965,Fort Lauderdale,Florida
1946,Ramon Rivas,208,117,Temple University,1966,Carolina,Puerto Rico
1947,David Rivers,183,77,University of Notre Dame,1965,Jersey City,New Jersey
1948,Rob Rose,196,81,George Mason University,1964,Rochester,New York
1949,Jim Rowinski,203,113,Purdue University,1961,Long Island,New York
1950,Rony Seikaly,211,104,Syracuse University,1965,Beirut,Lebanon
1951,Charles Shackleford,208,102,North Carolina State University,1966,Kinston,North Carolina
1952,John Shasky,211,106,University of Minnesota,1964,Birmingham,Michigan
1953,Brian Shaw,198,86,"University of California, Santa Barbara",1966,Oakland,California
1954,Keith Smart,185,79,Indiana University,1964,Baton Rouge,Louisiana
1955,Charles Smith,208,104,University of Pittsburgh,1965,Bridgeport,Connecticut
1956,Rik Smits,224,113,Marist College,1966,Eindhoven,Netherlands
1957,John Starks,190,81,Oklahoma State University,1965,Tulsa,Oklahoma
1958,Everette Stephens,188,79,Purdue University,1966,Evanston,Illinois
1959,Rod Strickland,196,90,Jacksonville University,1940,Jacksonville,Florida
1960,Barry Sumpter,211,97,Austin Peay State University,1965,Brooklyn,Illinois
1961,Anthony Taylor,193,79,University of Oregon,1965,Los Angeles,California
1962,Tom Tolbert,201,106,University of Arizona,1965,Long Beach,California
1963,Kelvin Upshaw,188,81,University of Utah,1963,Chicago,Illinois
1964,Morlon Wiley,193,83,"California State University, Long Beach",1966,New Orleans,Louisiana
1965,Micheal Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington
1966,David Wood,206,102,"University of Nevada, Reno",1964,Spokane,Washington
1967,Nick Anderson,198,92,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
1968,Michael Ansley,201,102,University of Alabama,1967,Birmingham,Alabama
1969,B.J. Armstrong,201,102,,1967,,
1970,Dana Barros,180,73,Boston College,1967,Boston,Massachusetts
1971,Kenny Battle,198,95,University of Illinois at Urbana-Champaign,1964,Aurora,Illinois
1972,Winston Bennett,201,95,University of Kentucky,1965,Louisville,Kentucky
1973,Mookie Blaylock,183,81,University of Oklahoma,1967,Garland,Texas
1974,Chucky Brown,201,97,North Carolina State University,1968,New York,New York
1975,Raymond Brown,203,99,University of Idaho,1965,Atlanta,Georgia
1976,Stanley Brundy,198,95,DePaul University,1967,New Orleans,Louisiana
1977,Torgeir Bryn,206,113,Texas State University,1964,Oslo,Norway
1978,Steve Bucknall,198,97,University of North Carolina,1966,London,United Kingdom
1979,Adrian Caldwell,203,120,Lamar University,1966,Falls County,Texas
1980,Lanard Copeland,198,86,Georgia State University,1965,Atlanta,Georgia
1981,Terry Davis,206,102,Virginia Union University,1967,Danville,Virginia
1982,Byron Dinkins,185,77,University of North Carolina at Charlotte,1967,Charlotte,North Carolina
1983,Vlade Divac,216,110,,1968,Prijepolje,Serbia
1984,Sherman Douglas,183,81,Syracuse University,1966,Washington,District of Columbia
1985,Terry Dozier,206,95,University of South Carolina,1966,Baltimore,Maryland
1986,Blue Edwards,193,90,East Carolina University,1965,Washington,District of Columbia
1987,Jay Edwards,213,102,University of Washington,1955,Seattle,Washington
1988,Sean Elliott,203,92,University of Arizona,1968,Tucson,Arizona
1989,Pervis Ellison,206,95,University of Louisville,1967,Savannah,Georgia
1990,Derrick Gervin,203,90,University of Texas at San Antonio,1963,Detroit,Michigan
1991,Greg Grant,170,63,Trenton State University,1966,Trenton,New Jersey
1992,Scott Haffner,190,81,University of Evansville,1966,Terre Haute,Indiana
1993,Tom Hammonds,206,97,Georgia Institute of Technology,1967,Fort Walton,Florida
1994,Tim Hardaway,183,79,University of Texas at El Paso,1966,Chicago,Illinois
1995,Mike Higgins,206,99,University of Northern Colorado,1967,Grand Island,Nebraska
1996,Ed Horton,203,104,University of Iowa,1967,Springfield,Illinois
1997,Byron Irvin,196,86,University of Missouri,1966,LaGrange,Illinois
